Points,Vs_Team,Home/Away
0,COLORADO AVALANCHE,Away
2,ANAHEIM DUCKS,Away
3,LOS ANGELES KINGS,Away
4,COLUMBUS BLUE JACKETS,Home
1,MINNESOTA WILD,Home
0,PHOENIX COYOTES,Home
0,WASHINGTON CAPITALS,Away
3,NEW YORK ISLANDERS,Away
1,NEW YORK RANGERS,Away
1,TAMPA BAY LIGHTNING,Away
1,ATLANTA THRASHERS,Away
1,PHILADELPHIA FLYERS,Away
0,LOS ANGELES KINGS,Home
0,COLORADO AVALANCHE,Home
2,CAROLINA HURRICANES,Away
1,COLUMBUS BLUE JACKETS,Away
1,DETROIT RED WINGS,Away
1,PITTSBURGH PENGUINS,Home
0,NASHVILLE PREDATORS,Home
0,DALLAS STARS,Home
1,ST. LOUIS BLUES,Away
1,CHICAGO BLACKHAWKS,Away
2,NASHVILLE PREDATORS,Away
4,PHILADELPHIA FLYERS,Home
2,ANAHEIM DUCKS,Away
1,CHICAGO BLACKHAWKS,Home
3,EDMONTON OILERS,Away
1,VANCOUVER CANUCKS,Away
2,OTTAWA SENATORS,Home
1,ST. LOUIS BLUES,Home
0,CALGARY FLAMES,Home
2,LOS ANGELES KINGS,Home
1,DALLAS STARS,Home
1,PHOENIX COYOTES,Away
4,ANAHEIM DUCKS,Home
1,DALLAS STARS,Away
2,CHICAGO BLACKHAWKS,Away
3,ANAHEIM DUCKS,Home
0,PHOENIX COYOTES,Home
1,WASHINGTON CAPITALS,Home
0,PHOENIX COYOTES,Away
2,EDMONTON OILERS,Home
1,LOS ANGELES KINGS,Home
0,ST. LOUIS BLUES,Home
0,DETROIT RED WINGS,Home
1,LOS ANGELES KINGS,Away
1,PHOENIX COYOTES,Away
1,BOSTON BRUINS,Home
2,EDMONTON OILERS,Home
1,CALGARY FLAMES,Home
0,LOS ANGELES KINGS,Away
2,ANAHEIM DUCKS,Home
1,BUFFALO SABRES,Home
0,CHICAGO BLACKHAWKS,Home
1,MINNESOTA WILD,Home
2,DETROIT RED WINGS,Home
1,ST. LOUIS BLUES,Away
2,NASHVILLE PREDATORS,Away
1,TORONTO MAPLE LEAFS,Away
0,COLUMBUS BLUE JACKETS,Away
1,DETROIT RED WINGS,Away
0,BUFFALO SABRES,Away
1,NEW JERSEY DEVILS,Home
0,CANADIENS MONTREAL,Home
1,COLUMBUS BLUE JACKETS,Home
2,NASHVILLE PREDATORS,Home
0,FLORIDA PANTHERS,Home
1,ANAHEIM DUCKS,Away
1,DALLAS STARS,Away
0,VANCOUVER CANUCKS,Away
1,CALGARY FLAMES,Away
1,EDMONTON OILERS,Away
1,MINNESOTA WILD,Away
1,DALLAS STARS,Home
0,VANCOUVER CANUCKS,Home
2,COLORADO AVALANCHE,Away
0,CALGARY FLAMES,Away
1,VANCOUVER CANUCKS,Home
1,PHOENIX COYOTES,Home
